municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Batalha,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BATALHA,"Travessa 13 de Maio, nº 50, CEP 64.190-000 Centro",(86)3347-1154,Batalha
Marcos Parente,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MARCOS PARENTE,"Rua Getúlio Vargas, nº 1083, CEP 64.845-000 Centro",(89) 99475-6954,Marcos Parente
Gilbués,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE GILBUÉS,"Rua Fausto Lustosa, nº 840, CEP 64.930-000 Centro",(89) 3578-1584,"Gilbués, São Gonçalo do Gurguéia"
Bom Jesus,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE BOM JESUS,"Rua Dr. Francisco de Assis Duarte Rocha, 576-A, CEP 64.900-000 Centro",(89) 99925-5875,"Bom Jesus, Currais"
São Pedro do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO PEDRO DO PIAUÍ,"Avenida Presidente Vargas, nº 671, CEP 64.430-000  Centro",(86) 3280-1133 / (86) 99954-9548,São Pedro do Piauí
Arraial,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ARRAIAL,Anexada provisoriamente à Serventia Extrajudicial do Ofício Único de Francisco Ayres,(86) 99556-1511,Arraial
Floriano,"1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE FLORIANO - 1ª ZONA","Rua Fernando Marques, nº 676, CEP 64.800-066 Centro",(89) 99928-7970 / (89) 99919-2564,Floriano
Aroazes,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AROAZES,"Av. Coronel Aníbal Martins, s/n , CEP 64.310-000 Centro",(89) 98125-3060,Aroazes
Alagoinha do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ALAGOINHA DO PIAUÍ,"Rua Sérgio Fialho, nº 259, CEP 64.655-000 Centro",(89) 98128-8959,Alagoinha do Piauí
Rio Grande do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE RIO GRANDE DO PIAUÍ,"Avenida Getúlio Vargas, s/n, CEP 64.835-000 Centro",(89) 99410-3282 / (89) 99460-6727,"Rio Grande do Piauí, Pavussu"
Beneditinos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BENEDITINOS,"Avenida Presidente Vargas, nº 484, CEP 64380-000 Centro",(86) 99430-2256,Beneditinos
Palmeirais,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PALMEIRAIS,"Avenida Venâncio Borges, Nº 489, CEP 64.420-000 Centro",(86) 99566-6825,Palmeirais
Prata do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PRATA DO PIAUÍ,"Rua Praxedes Campelo, nº 35, CEP: 64.370-000 Centro",(86) 98176-9008,Prata do Piauí
Teresina,6ª SERVENTIA EXTRAJUDICIAL DE NOTAS DE TERESINA,"Avenida João XXIII, nº 2.829, CEP 64.051-005 São Cristóvão",(86) 98897-5425 / (86) 99958-3563,"Teresina, Nazária"
Elesbão Veloso,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ELESBÃO VELOSO,"Rua 13 de Maio, nº 241, CEP 64.325-000 Centro",(86) 3285-1096 / (86)99930-0868,"Elesbão Veloso, Várzea Grande, Barra D'Alcântara, Tanque do Piauí, Francinópolis"
Baixa Grande do Ribeiro,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BAIXA GRANDE DO RIBEIRO,"Avenida  Ari Rocha, nº 4462, CEP 64.868-000 De Fátima",(89) 99925-5345,Baixa Grande do Ribeiro
Barreiras do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BARREIRAS DO PIAUÍ,"Rua Etelvina Castelo Branco, nº 152, CEP 64.990-000 Centro",(89) 98105-2847,Barreiras do Piauí
Novo Oriente do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE NOVO ORIENTE DO PIAUÍ,"Rua 14 de outubro, nº 153, CEP 64.530-000 Centro",(89) 3475-1368 / (89) 99921-8995,Novo Oriente do Piauí
São João da Fronteira,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOÃO DA FRONTEIRA,"Rua Sete de Outubro, nº 210, CEP 64.243-000 Centro",,São João da Fronteira
Antônio Almeida,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANTÔNIO ALMEIDA,"Rua Getúlio Vargas, nº 235, CEP 64855-000 Centro",(89) 99410-5852,"Antônio Almeida, Porto Alegre do Piauí"
